ACTION,GOTO
ClosureId,!=,(,),*,+,",",-,/,;,<,<=,=,==,>,>=,Expressions1q,Identifier,dig,else,idt,if,int,return,void,while,{,},#,ActualParameterList,ActualParameters,AdditiveExpression,AssignmentStatement,Expression,Expressions,FTYPE,Factor,FormalParameters,FunctionCall,IfStatement,InternalDeclaration,InternalVariableDeclaration,OperatorFactor,OperatorTerm,Parameter,ParameterList,Parameters,Program,RelopAdditiveExpression,ReturnStatement,Start,Statement,StatementBlock,StatementSequence,Term,Type,WhileStatement,relop
0,,,,,,,,,,,,,,,,,,,,,,s3,,s4,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,s5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,r2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,r3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,s6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,s10,,s11,,,,,,,,,,,,,7,,,,,,,8,9,,,,,,,,,,,,
7,,,s12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,s13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,
9,,,r4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,s15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,r5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,s17,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,
13,,,,,,,,,,,,,,,,,,,,,,s19,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,
14,,,r6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,r9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,r1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,s29,s30,s31,s32,,s33,,,,,,,20,,,,,,,21,22,23,,,24,,,,,25,,26,,27,,,28,
18,,,r8,,,s13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,s35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,r20,r20,,r20,,r20,,r20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,r17,r17,,r17,,r17,,r17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,s29,s30,,s32,,s33,,,,,,,20,,,,,,,21,,,,,,,,,,25,,26,,36,,,28,
23,,,,,,,,,,,,,,,,,,,,r13,r13,s31,r13,,r13,,,,,,,,,,,,,,,37,23,,,24,,,,,,,,,,,,,
24,,,,,,,,,s38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,r19,r19,,r19,,r19,,r19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,r16,r16,,r16,,r16,,r16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,s29,s30,,s32,,s33,,s40,,,,,20,,,,,,,21,,,,,,,,,,25,,39,,,,,28,
28,,,,,,,,,,,,,,,,,,,,r18,r18,,r18,,r18,,r18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,s41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,s42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,s43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,s44,,,,,,,s45,,,,,,,,s49,s51,,,,,,,,,,,,,46,,47,,,48,,,,,,,,,,,,,,,,,,50,,,
33,,s52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,r7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,r9,,,r9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,s29,s30,,s32,,s33,,s53,,,,,20,,,,,,,21,,,,,,,,,,25,,39,,,,,28,
37,,,,,,,,,,,,,,,,,,,,r12,r12,,r12,,r12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,r14,r14,r14,r14,,r14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,r15,r15,,r15,,r15,,r15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,r11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,s44,,,,,,,,,,,,,,,s49,s51,,,,,,,,,,,,,46,,54,,,48,,,,,,,,,,,,,,,,,,50,,,
42,,s55,,,,,,,,,,,,,,,s59,s61,,,,,,,,,,,,,56,,57,,,58,,,,,,,,,,,,,,,,,,60,,,
43,,,,,,,,,r9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,s55,,,,,,,,,,,,,,,s59,s61,,,,,,,,,,,,,56,,62,,,58,,,,,,,,,,,,,,,,,,60,,,
45,,,,,,,,,,,,,,,,,,,,r24,r24,,r24,,r24,,r24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,s63,,,,,,,,r27,s64,s65,,s66,s67,s68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,70
47,,,,,,,,,s71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,r43,,,s72,r43,,r43,s73,r43,r43,r43,,r43,r43,r43,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,,,,,,,,,
49,r51,s75,,r51,r51,,r51,r51,r51,r51,r51,,r51,r51,r51,,,,,,,,,,,,,,,,,,,,76,,,77,,,,,,,,,,,,,,,,,,,
50,r37,,,,s78,,s79,,r37,r37,r37,,r37,r37,r37,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,
51,r49,,,r49,r49,,r49,r49,r49,r49,r49,,r49,r49,r49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,s55,,,,,,,,,,,,,,,s59,s61,,,,,,,,,,,,,56,,81,,,58,,,,,,,,,,,,,,,,,,60,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,r10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,s82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,s55,,,,,,,,,,,,,,,s59,s61,,,,,,,,,,,,,56,,83,,,58,,,,,,,,,,,,,,,,,,60,,,
